Sentencas,Intencoes
Quais as outras camisetas que vocês possuem?,Catálogo
Certo o que mais vocês possuem em catálogo?,Catálogo
Queria também ver se vocês tem camiseta laranja,Catálogo
Salve por acaso vcs tem camiseta de manga comprida?,Catálogo
Ainda vende camiseta rosa?,Catálogo
Quanto tá a camiseta preta?,Catálogo
Quais os itens em estoque? ,Catálogo
Ainda possuem moletons?,Catálogo
Quero ver seus produtos,Catálogo
Vcs vendem camiseta?,Catálogo
Tem camiseta regata?,Catálogo
Quais as cores tem?,Catálogo
Posso ver o catalogo?,Catálogo
Qual o menu de roupas,Catálogo
Qual a lista de roupas da loja?,Catálogo
Ainda vendem camiseta regata?,Catálogo
Quero ver os tipos de roupas da loja,Catálogo
Quais são todos os moletons disponíveis?,Catálogo
Não sei o que comprar,Catálogo
Ainda estou indeciso no que levar,Catálogo
Quero conhecer a loja,Catálogo
Quero saber o que vocês vendem,Catálogo
A loja vende shorts?,Catálogo
Tem calça moletom?,Catálogo
Tem camiseta de time?,Catálogo
Chegou coisa nova?,Catálogo
Quais as roupas dessa temporada?,Catálogo
A lista de itens por favor,Catálogo
Gostaria de saber quais tipos de calça vendem aqui,Catálogo
Me vê o catálogo por favor,Catálogo
Mostra o catálogo ai ,Catálogo
Solta o catálogo,Catálogo
Será que ainda sobrou calça cargo?,Catálogo
Me mostra a lista de roupas da loja,Catálogo
Lista de roupas por favor,Catálogo
Quero conhecer os produtos vendidos,Catálogo
Quais são os produtos da loja?,Catálogo
Quais os itens em catálogo?,Catálogo
Quais as peças a venda?,Catálogo
As peças em catálogo por favor,Catálogo
Qual mercadoria vocês vendem? ,Catálogo
Lista de mercadorias por favor,Catálogo
-Quais os conjuntos a venda?,Catálogo
Quantos objetos disponiveis?,Catálogo
Quantos conjuntos disponíveis?,Catálogo
Qual o link para a lista de roupas?,Catálogo
Me envia o que tem disponivel por favor,Catálogo
Onde consigo as roupas a venda?,Catálogo
Gostaria de saber o catálogo disponível,Catálogo
Gostaria da lista de roupas a venda por favor,Catálogo
Gostaria de fazer uma reclamação,Reclamação
Aliás já fiz uma compra com vocês e não gostei muito do atendimento,Reclamação
Gostaria de dar um feedback sobre a loja,Reclamação
Também quero deixar uma sugestão,Reclamação
"Boa tarde, tive um problema com uma compra gostaria de fazer uma reclamação",Reclamação
Tive um contratempo com uma compra,Reclamação
Tive problemas com minha compra,Reclamação
Quero deixar minha opinião,Reclamação
Gostaria de comentar sobre o atendimento de vocês,Reclamação
Quero registrar uma queixa,Reclamação
Gostaria de dar um feedback positivo,Reclamação
Tive uma boa experiência com uma compra onde posso registrar?,Reclamação
Quero registrar meu depoimento sobre a loja,Reclamação
Quero dar um retorno sobre a minha compra,Reclamação
Não tive uma experiência boa com a loja,Reclamação
Tive uma experiência boa com a loja,Reclamação
Quero registrar uma crítica,Reclamação
Onde posso deixar um parecer sobre minha compra?,Reclamação
Gostaria de dar uma ideia,Reclamação
Onde registro uma avaliação?,Reclamação
Gostaria de dar algumas ideias,Reclamação
Quero deixar meu ponto de vista sobre algumas coisas,Reclamação
Tenho alguns pensamentos onde posso registrá-los?,Reclamação
Quero escrever meu posicionamento,Reclamação
Aprecio muito o trabalho de vocês onde posso registrar minha opinião?,Reclamação
Tenho algumas teses em aberto gostaria de registrá-las,Reclamação
Não gostei da forma como fui atendido,Reclamação
Adorei o atendimento de vocês,Reclamação
Posso dar um palpite?,Reclamação
Sei de alguns pontos que podem ser melhorados,Reclamação
Quero deixar um depoimento que pode vir a somar,Reclamação
Vou processar vocês,Reclamação
Não irei recomendar essa loja pra ninguém,Reclamação
Irei recomendar a loja pra todo mundo,Reclamação
Nunca fui tão mal atendido,Reclamação
Nunca fui tão bem atendido,Reclamação
Essa é a melhor loja de todas,Reclamação
Essa é a pior loja de todas,Reclamação
Irei divulgar o quão bem fui atendido em todas as redes sociais,Reclamação
Nunca vi um estabelecimento com um atendimento tão ruim,Reclamação
Vou expor o quão péssimo é o atendimento dessa loja,Reclamação
O serviço de vocês é detestável,Reclamação
O atendimento mais desagradável de todos,Reclamação
O atendimento mais agradável de todos,Reclamação
Nunca me aborreci tanto tentando comprar em uma loja,Reclamação
Vocês são perfeitos a entrega chegou perfeita,Reclamação
Adorei a gentileza dos funcionários,Reclamação
Detestei a loja,Reclamação
Adorei a loja,Reclamação
Quero finalizar meu pedido,finalizar
Quero pagar minha compra,finalizar
Então já fecha pra mim,finalizar
Vou fechar então,finalizar
Certo quero pagar,finalizar
Vou finalizar por aqui,finalizar
Vamos prosseguir para o pagamento,finalizar
Quanto deu tudo?,finalizar
Qual o total da compra?,finalizar
Quero dar continuidade para o pagamento,finalizar
Acho que já está bom,finalizar
Quanto fico a brincadeira?,finalizar
Fecha pra mim chefe,finalizar
Vou fechar o carrinho,finalizar
Posso prosseguir para o pagamento?,finalizar
Como faz pra pagar?,finalizar
Quais os métodos de pagamento?,finalizar
Traz a conta por favor,finalizar
A conta!,finalizar
Fecha a compra,finalizar
Vou levar tudo,finalizar
Poderia me passar a conta?,finalizar
Poderia me enviar pra página de pagamento?,finalizar
Eu gostaria de pagar,finalizar
Pode fechar a compra?,finalizar
Passa no crédito pra mim,finalizar
Vocês aceitam débito?,finalizar
Manda a chave Pix fazendo favor,finalizar
Qual o PIX de vocês?,finalizar
Ainda aceitam paypal?,finalizar
Consigo pagar com mercado pago?,finalizar
Faz o boleto por favor,finalizar
Me faz um boleto,finalizar
Fecha o boleto pra mim!,finalizar
"Fechou, então vou pagar",finalizar
"Demorou, quero pagar então",finalizar
"Daora, manda o pix ai",finalizar
Quanto ficou o rombo?,finalizar
E a brincadeira vai ficar em quanto?,finalizar
Onde paga?,finalizar
Como paga?,finalizar
Vc pode me enviar pro pagamento?,finalizar
Qual o link para pagamento?,finalizar
A loja aceita cheque?,finalizar
Acho que já está bom,finalizar
Tem desconto?,finalizar
No boleto é mais barato?,finalizar
Vou levar só essas,finalizar
Passa essas ai pra mim então,finalizar
Embrulha essas peças por favor,finalizar
Gostaria de adicionar três camisetas vermelhas ao meu carrinho,Adicionar
Olá! Preciso de 2 moletons cinza escuro,Adicionar
"Opa, coloca ai no carrinho 3 camisetas manga longa",Adicionar
Vou querer camiseta de manga comprida azul,Adicionar
Também quero comprar uma camiseta regata,Adicionar
Vou comprar então essa camiseta,Adicionar
Acrescenta pra mim essa blusa azul,Adicionar
Poe junto essa regata aqui,Adicionar
Somado a essas também quero colocar essa camiseta rosa,Adicionar
Adiciona no carrinho 2 camisetas pretas,Adicionar
"Chefia, bota ai no carrinho essa calça cargo por favor",Adicionar
Me vê 2 regatas brancas,Adicionar
Escorrega pro carrinho esse moletom cinza,Adicionar
Inclui na minha compra mais essa camiseta azul,Adicionar
Joga ai no carrinho essa camisa cinza,Adicionar
Faltou essa camisa azul aqui,Adicionar
"Por favor, adicione ao meu carrinho essa blusa preta",Adicionar
Vc pode colocar pra mim essa camiseta branca?,Adicionar
Eu poderia adicionar mais essa ao carrinho?,Adicionar
Joga ai na minha compra mais essa aqui,Adicionar
Posso acrescentar mais essa a compra?,Adicionar
"Salve, coloca ai pra mim essa regata rosa",Adicionar
Oi coloca essa camiseta pra mim junto?,Adicionar
Coloca tudo junto essas camisetas pretas aqui,Adicionar
"Salve, bota ai essa blusa marrom",Adicionar
Acrescenta mais essa camiseta cinza aqui,Adicionar
"Por favor, poderia incluir no meu carrinho essa camiseta cinza?",Adicionar
"Poderia incluir essa camiseta preta, por favor?",Adicionar
Se possível colocar mais esse moletom preto,Adicionar
"Por favor, se possível adiciona esse moletom cinza também",Adicionar
Coloca também essa camiseta rosa,Adicionar
E mais essa camiseta cinza também,Adicionar
Junto com todas coloca também essa camiseta cinza,Adicionar
"Gostei dessa camiseta preta, pode incluir também",Adicionar
Inclui na compra essa camisa azul aqui,Adicionar
Junto a essa vai também essa camiseta preta,Adicionar
Poderia também acrescentar essa camisa rosa?,Adicionar
Pode jogar no bolo essa calça cargo por favor,Adicionar
Joga essa camiseta azul junto,Adicionar
Vc pode adicionar essa regata cinza?,Adicionar
Vc pode incluir essa camiseta preta?,Adicionar
Pd colocar pra mim fznd favor essa camiseta azul?,Adicionar
Fznd favor vc pode colocar no meu carrinho essa regata preta?,Adicionar
Se possível coloca também essa camisa azul,Adicionar
Se der pra colocar essa regata azul,Adicionar
Seria daora se ainda desse pra incluir essa camiseta preta,Adicionar
Faz o seguinte bota também essa calça junto pra mim,Adicionar
Dá pra colocar essa calça moletom também?,Adicionar
Vc consegue incluir no carrinho essa camisa azul?,Adicionar
Gostaria de ter no meu carrinho essa regata cinza,Adicionar
